recording_mbid,canonical_recording_mbid,canonical_release_mbid
f1721317-4f60-4c60-9ecc-c219374f96f8,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
f679749f-d9fa-4942-9180-beb27ab33807,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
163dd9ef-41a4-4336-8a7d-9c21a2be37e6,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
ccefde16-03c4-4cd9-8268-ff8e7da4c4b0,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
416dc64d-9103-475f-8067-9e0da0972d21,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
d8dd3bdc-8008-42fe-9f18-72bb60e9fa3f,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
974ac3ca-bb79-48cb-b2c2-f7f3286df975,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
9c38c6fe-14ad-43bd-96e0-be722d4e3b62,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
b1ffb28b-9397-4b80-a0e0-b7a097b4e4bc,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
e039cf31-5acd-4e07-8259-094d76f4cae3,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
81dd4e68-ad37-4f7c-809e-a13d83ff9159,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
2a757e45-d5ae-4196-bdd9-8c8754e96dbf,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
b3404323-5fa7-45d3-9cf3-2a2d38f3bf31,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
6248ee9a-a6e3-4213-b191-22e88725899c,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
347e8b82-eacd-4797-960d-480b9e3a8138,ecb125d7-d23e-4d76-8282-745713563110,ffb4aba3-8aa4-479d-9a62-1bbe881804b8
