recording_msid,recording_mbid,match_type
e960cfb4-2f84-4114-bd65-a4ae7792d048,25bfcfd0-7c4d-416a-ad9d-669c096e877f,high_quality
fbc0089e-34da-4caa-b899-095da8374522,4cffc0b3-27de-4ae4-afc2-6c2c71872e1f,exact_match
8958e3e5-fbed-47ef-a9cb-e129c8b6bd72,d01382b0-9f5c-4edb-8803-14ccaab540a9,exact_match
62ddc7ff-89f6-4441-a58c-ee3306dbf762,478515e1-b0bc-411d-90d9-9076940c0017,exact_match
80830a01-e6a0-4a2e-b93c-430124e8ae0a,cb23ca13-cbd7-47b7-b4f1-f654ec2ee0f6,low_quality
a1606f94-d243-4b36-9101-f088a3785b58,c0ebf5ad-aa4f-4702-a2b2-4d831a6f88b2,exact_match
fb988713-ad8d-4a59-be17-ba04b0a1fcc0,f03e2d04-c97e-4173-a612-daa17bd3f552,exact_match
c04676cb-510f-42b3-b4dd-ee93abc3f922,8ff070e3-0dc9-4028-a31f-eebe9104a36c,exact_match
27566fb9-63be-45ae-beac-05a803a0d4da,f8470dad-d1b4-418f-b2a8-b265c10b96f7,exact_match
6ed31e9a-066f-4282-b913-780a9e793817,a0d8c778-6491-40db-a9d2-94d8bfc4ba68,exact_match
7937bbce-2450-4a96-9099-52d3ba23401a,d372502a-8b92-4be6-b8f9-e68ed074d3d9,low_quality
f7e3184f-0dbf-4474-9164-6df58ff09253,203102ee-806f-469f-9e33-8776f33996de,low_quality
5a148f20-2e13-478c-b5d8-a3e25850f104,,no_match
eb67798d-a93c-431a-b5ef-66834a1b57f1,646a7e84-3928-4d75-b809-65b711442011,low_quality
3558ff9a-d3af-410f-8245-b23819e23f80,c8b0617e-999f-4fb8-9530-8560afba208d,low_quality
8c3197d8-8965-423f-8fd7-f847a665c6d3,fc9bcf57-db4b-4d9e-9006-87576b9def0b,exact_match
5f0f2a61-109b-4e30-b55a-12a746311394,87699a50-8da0-47da-986f-4a4af0c6927e,exact_match
ef4f3e27-4fc6-4b25-9957-3f784923a928,e0008949-c026-436b-9519-ed47192bc918,exact_match
b87daa95-76fe-4533-99bf-e0375e4916b4,cab323c5-0329-4128-bbcb-47b3a0eefcc2,exact_match
f0b2dd84-e1e2-4f22-8456-e338332ec225,79906196-64d4-4788-81ba-f16e7ecb15b3,exact_match
